위도,경도,교차로명,노드아이디,권역코드,Y좌표,X좌표
3719.8940000000,12742.9900000000,,2370013200,,263430.4746300000,425744.8856460000
3720.9590000000,12741.1070000000,,2370013100,,260637.3790620000,427696.8352700000
3721.3060000000,12740.6500000000,,2370013000,,259965.4887750000,428331.6690630000
3722.7540000000,12735.6400000000,,2370012900,,252542.4641150000,430961.6483980000
3722.7890000000,12735.6500000000,,2370012800,,252560.3074210000,431024.9989210000
3722.8480000000,12735.7100000000,,2370012700,,252650.8590960000,431135.4777560000
3722.8810000000,12735.7400000000,,2370012600,,252697.8425090000,431196.3343800000
3722.8940000000,12735.7500000000,,2370012500,,252713.9716900000,431221.1503410000
3722.9080000000,12735.7700000000,,2370012400,,252731.4665820000,431247.2337560000
3722.9760000000,12735.8200000000,,2370012300,,252815.4673880000,431373.7146560000
3723.0620000000,12735.9200000000,,2370012200,,252959.7437070000,431533.9317100000
3723.1480000000,12736.0200000000,,2370012100,,253108.1311300000,431693.8692660000
3723.1950000000,12736.0800000000,,2370012000,,253187.8409490000,431779.9886160000
3723.2320000000,12736.1200000000,,2370011900,,253252.2144680000,431849.2069760000
3723.3160000000,12736.2200000000,,2370011800,,253397.3028790000,432005.9157380000
3723.3990000000,12736.3200000000,,2370011700,,253541.1521950000,432161.1077640000
3723.4650000000,12736.3700000000,,2370011600,,253613.4501530000,432282.1853980000
3723.5330000000,12736.3700000000,,2370011500,,253610.9894290000,432409.1465160000
3723.7360000000,12736.4400000000,,2370011400,,253709.9789960000,432785.0312830000
3723.8050000000,12736.4600000000,옥촌교                        ,2370011300,,253748.9908150000,432913.0575150000
3724.2220000000,12736.6800000000,,2370011200,,254058.0553090000,433685.9760850000
3724.2770000000,12736.7100000000,,2370011100,,254102.4443950000,433788.9683690000
3724.3270000000,12736.7300000000,,2370011000,,254142.4097670000,433881.7498060000
3724.4320000000,12736.7900000000,,2370010900,,254226.2106060000,434075.8379060000
3724.2160000000,12732.8400000000,,2370010800,,248396.7230610000,433640.5344720000
3724.2180000000,12732.9500000000,,2370010700,,248554.1002470000,433645.6738880000
3724.2640000000,12733.0800000000,,2370010600,,248750.9581700000,433731.2736320000
3724.3330000000,12733.2200000000,,2370010500,,248960.6969090000,433859.8415940000
3724.3840000000,12733.2900000000,,2370010400,,249066.2548090000,433955.4277220000
3724.4420000000,12733.3700000000,,2370010300,,249184.9423930000,434063.7056460000
3724.5290000000,12733.5500000000,,2370010200,,249447.5709810000,434224.8906910000
3724.5330000000,12733.6700000000,,2370010100,,249616.4702580000,434234.6423620000
3724.5980000000,12733.9000000000,,2370010000,,249954.3613740000,434356.8390660000
3724.5970000000,12733.9200000000,,2370009900,,249990.8295140000,434355.2851010000
3724.5970000000,12733.9900000000,,2370009800,,250084.3501260000,434354.8804230000
3724.5990000000,12734.0100000000,어린이보호구역                ,2370009700,,250123.1759500000,434359.9459180000
3724.6120000000,12734.0500000000,,2370009600,,250179.7769690000,434383.0325530000
3724.6280000000,12734.1000000000,,2370009500,,250251.2890320000,434414.0368580000
3724.7470000000,12734.3760000000,,2370009400,,250654.9541120000,434636.5905930000
3724.7700000000,12734.4910000000,,2370009300,,250824.2147250000,434681.3179940000
